Name,ID,LON,LAT
01CCV,0,178.51210332700,-72.54320288950
01CCV,1,-179.84760391500,-72.52919441890
01CDH,2,177.62605535900,-83.32002327750
01CDH,3,-178.12067910900,-83.33283919040
01CDJ,4,178.08429730200,-82.42735673430
01CDJ,5,-178.16590126700,-82.43677328010
01CDK,6,178.44465655400,-81.53476557420
01CDK,7,-178.20136678400,-81.54126569770
01CDL,8,178.73570712900,-80.64138642260
01CDL,9,-178.22995878000,-80.64521417740
01CDM,10,178.97548942500,-79.74792635730
01CDM,11,-178.25348522900,-79.74913902110
01CDN,12,179.17627524900,-78.85509712140
01CDN,13,-178.27316986700,-78.85356596540
01CDP,14,179.34698097800,-77.96205373360
01CDP,15,-178.28989879000,-77.95741111570
01CDQ,16,179.49372910100,-77.06969104890
01CDQ,17,-178.30428064900,-77.06120504430
01CDR,18,179.62104341200,-76.17922232120
01CDR,19,-178.31676752400,-76.16547956330
01CDS,20,179.73246272300,-75.29113562320
01CDS,21,-178.32772077700,-75.26915423550
01CDT,22,179.83022346800,-74.41065034320
01CDT,23,-178.33739892800,-74.37276203130
01CDU,24,179.91439978600,-73.56221253030
01CDU,25,-178.34600546200,-73.47683642070
01CDV,26,-178.34244672300,-72.58259902540
01CDV,27,179.97421317900,-72.90568622880
01CEH,28,-172.75980298900,-83.31983513660
01CEJ,29,-173.26016084100,-82.42681330100
01CEK,30,-173.65400478100,-81.53365465960
01CEL,31,-173.97232873400,-80.63946942150
01CEM,32,-174.23474134900,-79.74490934500
01CEN,33,-174.45460722300,-78.85058784520
01CEP,34,-174.64165905900,-77.95548344500
01CEQ,35,-174.80260285500,-77.06016926630
01CER,36,-174.94243472700,-76.16520838630
01CES,37,-175.06516030500,-75.26954495490
01CET,38,-175.17364863700,-74.37372950850
01CEU,39,-175.27016165500,-73.47830922870
01CEV,40,-175.35665414400,-72.58221612290
01CFV,41,-172.37007375300,-72.53536798320
01DCA,42,178.65304818700,-71.64792091280
01DCA,43,-179.78488176300,-71.64701467860
01DCB,44,178.78061359200,-70.75302799540
01DCB,45,-179.72758166400,-70.75776284240
01DCC,46,178.89671583000,-69.85746188430
01DCC,47,-179.67524583600,-69.86493168460
01DCD,48,179.00274016200,-68.96177057310
01DCD,49,-179.62737536900,-68.97056063130
01DCE,50,179.09985828600,-68.06650182450
01DCE,51,-179.58349044800,-68.07582585700
01DCF,52,179.18922213400,-67.17059136110
01DCF,53,-179.54309232000,-67.17996807320
01DCG,54,179.27165095100,-66.27458783410
01DCG,55,-179.50582094900,-66.28369583050
01DCH,56,179.34785309400,-65.37904182630
01DCH,57,-179.47136106700,-65.38764755230
01DCJ,58,179.41856666100,-64.48289411010
01DCJ,59,-179.43938126600,-64.49080946340
01DDA,60,-178.28772012200,-71.68805751000
01DDB,61,-178.22975918200,-70.79214124150
01DDC,62,-178.17703674700,-69.89557121890
01DDD,63,-178.12891441800,-68.99888532770
01DDE,64,-178.08485319300,-68.10262122930
01DDF,65,-178.04432488700,-67.20570224460
01DDG,66,-178.00695358900,-66.30866528770
01DDH,67,-177.97241462800,-65.41204734200
01DDJ,68,-177.94037059100,-64.51477063580
01DEA,69,-175.43454447500,-71.68599252180
01DEB,70,-175.50499580000,-70.79017953780
01DEC,71,-175.56908102100,-69.89370396290
01DED,72,-175.62757573400,-68.99710476270
01DEE,73,-175.68113482100,-68.10092050700
01DEF,74,-175.73040009500,-67.20407541860
01DEG,75,-175.77582832200,-66.30710704590
01DEH,76,-175.81781403000,-65.41055291880
01DEJ,77,-175.85676726400,-64.51333584210
01DFA,78,-172.58874093600,-71.64158146400
01DFB,79,-172.78662183100,-70.74798467750
01DFC,80,-172.96669890300,-69.85353639300
01DFD,81,-173.13112819600,-68.95879852500
01DFE,82,-173.28173264300,-68.06432902830
01DFF,83,-173.42030312900,-67.16907135310
01DFG,84,-173.54811366600,-66.27357656530
01DFH,85,-173.66626568400,-65.37839386750
01DFJ,86,-173.77590631100,-64.48245842630
01ECK,87,179.48430334700,-63.58670257440
01ECK,88,-179.40965109500,-63.59375898430
01ECL,89,179.54551334200,-62.69103218590
01ECL,90,-179.38196709400,-62.69706050790
01ECM,91,179.60269351000,-61.79484601010
01ECM,92,-179.35610414000,-61.79965507540
01ECN,93,179.65617654600,-60.89873766890
01ECN,94,-179.33191087800,-60.90209276430
01ECP,95,179.70625855700,-60.00333029530
01ECP,96,-179.30925194200,-60.00492025080
01ECQ,97,179.75328484000,-59.10768752230
01ECQ,98,-179.28796881600,-59.10706601700
01ECR,99,179.79747342100,-58.21258677430
01ECR,100,-179.26795893800,-58.20907224530
01ECS,101,179.83901343100,-57.31901840720
01ECS,102,-179.24912945200,-57.31148018190
01ECT,103,179.87812518100,-56.42688635810
01ECT,104,-179.23136505500,-56.41321380680
01EDK,105,-177.91058720700,-63.61737180880
01EDL,106,-177.88285840300,-62.72038772210
01EDM,107,-177.85695714600,-61.82273994030
01EDN,108,-177.83273077200,-60.92496519040
01EDP,109,-177.81004293600,-60.02760051340
01EDQ,110,-177.78873433900,-59.12956703120
01EDR,111,-177.76870186500,-58.23140177050
01EDS,112,-177.74985221600,-57.33364212560
